TRAIN_NAME,TRAIN,ORIGIN,SERVICE,WAGON_CLASS,NUM_WAGONS,LEG_NUM
1PM5,1PM5SCJ,SCJ,1PMTP,RRXYT,1,4
1PM5,1PM5SCJ,SCJ,6KA4,RQSY,9,4
1PM5,1PM5SCJ,SCJ,CREW VAN,RZAY,1,4
1PM5,1PM5SCJ,SCJ,NR2,NR,2,4
1PM5,1PM5PFT,PFT,1PA5,RQZY,2,1
1PM5,1PM5PFT,PFT,1PA5,RRQY,1,1
1PM5,1PM5PFT,PFT,1PAT,RQZYT,2,1
1PM5,1PM5PFT,PFT,1PM5,RQJW,1,1
1PM5,1PM5PFT,PFT,1PM5,RRYY,1,1
1PM5,1PM5PFT,PFT,1PM5,RRQY,1,1
1PM5,1PM5PFT,PFT,1PM5,RQJY,1,1
1PM5,1PM5PFT,PFT,1PM5,CQWY,6,1
1PM5,1PM5PFT,PFT,1PM5,RQZY,6,1
1PM5,1PM5PFT,PFT,1PM5FUEL,RQSY,1,1
1PM5,1PM5PFT,PFT,1PMTP,RRXYT,1,1
1PM5,1PM5PFT,PFT,1PMTP,RQZYT,6,1
1PM5,1PM5PFT,PFT,CREW VAN,RZAY,1,1
1PM5,1PM5PFT,PFT,NR2,NR,2,1
1PM5,1PM5COK,COK,1PA5,RRQY,1,3
1PM5,1PM5COK,COK,1PA5,RQZY,2,3
1PM5,1PM5COK,COK,1PAT,RQZYT,2,3
1PM5,1PM5COK,COK,1PM5,RQJY,1,3
1PM5,1PM5COK,COK,1PM5,RQZY,6,3
1PM5,1PM5COK,COK,1PM5,RRQY,1,3
1PM5,1PM5COK,COK,1PM5,CQWY,6,3
1PM5,1PM5COK,COK,1PM5,RRYY,1,3
1PM5,1PM5COK,COK,1PM5,RQJW,1,3
1PM5,1PM5COK,COK,1PM5FUEL,RQSY,1,3
1PM5,1PM5COK,COK,1PMTP,RQZYT,6,3
1PM5,1PM5COK,COK,1PMTP,RRXYT,1,3
1PM5,1PM5COK,COK,6KA4,RQSY,9,3
1PM5,1PM5COK,COK,CREW VAN,RZAY,1,3
1PM5,1PM5COK,COK,NR2,NR,2,3
1PS6,1PS6GBJ,GBJ,1PS6FUEL,RQSY,1,3
1PS6,1PS6GBJ,GBJ,7PB6,RQJW,1,3
1PS6,1PS6GBJ,GBJ,7PB6,RQSY,4,3
1PS6,1PS6GBJ,GBJ,7PB6,RRAY,3,3
1PS6,1PS6GBJ,GBJ,7PN3,RQSY,3,3
1PS6,1PS6GBJ,GBJ,7PS4,RRAY,4,3
1PS6,1PS6GBJ,GBJ,7PS4,RRYY,1,3
1PS6,1PS6GBJ,GBJ,7PS4,RQJW,4,3
1PS6,1PS6GBJ,GBJ,7PSB,RQZY,4,3
1PS6,1PS6GBJ,GBJ,NR3,NR,3,3
1PS6,1PS6SCJ,SCJ,1PS6FUEL,RQSY,1,2
1PS6,1PS6SCJ,SCJ,7PB6,RRAY,3,2
1PS6,1PS6SCJ,SCJ,7PB6,RQJW,1,2
1PS6,1PS6SCJ,SCJ,7PB6,RQSY,4,2
1PS6,1PS6SCJ,SCJ,7PG6,RQZY,1,2
1PS6,1PS6SCJ,SCJ,7PG6,RQZYT,1,2
1PS6,1PS6SCJ,SCJ,7PG6,RQSY,2,2
1PS6,1PS6SCJ,SCJ,7PN3,RQSY,3,2
1PS6,1PS6SCJ,SCJ,7PS4,RQJW,4,2
1PS6,1PS6SCJ,SCJ,7PS4,RRAY,4,2
1PS6,1PS6SCJ,SCJ,7PS4,RRYY,1,2
1PS6,1PS6SCJ,SCJ,7PSB,RQZY,4,2
1PS6,1PS6SCJ,SCJ,7PSP,RQZYT,4,2
1PS6,1PS6SCJ,SCJ,NR2,NR,2,2
1PS6,1PS6PFT,PFT,1PS6FUEL,RQSY,1,1
1PS6,1PS6PFT,PFT,7PB6,RQJW,1,1
1PS6,1PS6PFT,PFT,7PB6,RQSY,4,1
1PS6,1PS6PFT,PFT,7PB6,RRAY,3,1
1PS6,1PS6PFT,PFT,7PG6,RQZYT,1,1
1PS6,1PS6PFT,PFT,7PG6,RQZY,1,1
1PS6,1PS6PFT,PFT,7PG6,RQSY,2,1
1PS6,1PS6PFT,PFT,7PN3,RQSY,3,1
1PS6,1PS6PFT,PFT,7PS4,RRAY,4,1
1PS6,1PS6PFT,PFT,7PS4,RQJW,4,1
1PS6,1PS6PFT,PFT,7PS4,RRYY,1,1
1PS6,1PS6PFT,PFT,7PSB,RQZY,4,1
1PS6,1PS6PFT,PFT,7PSP,RQZYT,4,1
1PS6,1PS6PFT,PFT,CREW VAN2,RZAY,2,1
1PS6,1PS6PFT,PFT,NR2,NR,2,1
1SB6,1SB6SFT,SFT,2PB6,RRQY,1,1
1SB6,1SB6SFT,SFT,2PB6,RQJW,1,1
1SB6,1SB6SFT,SFT,2PB6,RQSY,3,1
1SB6,1SB6SFT,SFT,2PB6,RRAY,3,1
1SB6,1SB6SFT,SFT,3PB6,RRQY,1,1
1SB6,1SB6SFT,SFT,3PB6,RQSY,7,1
1SB6,1SB6SFT,SFT,3PB6,RRAY,1,1
1SB6,1SB6SFT,SFT,4PB6,RQSY,2,1
1SB6,1SB6SFT,SFT,4PB6,RRAY,4,1
1SB6,1SB6SFT,SFT,7SB1,SQTY,6,1
1SB6,1SB6SFT,SFT,7SB1,RQSY,3,1
1SB6,1SB6SFT,SFT,7SB1,RRAY,1,1
1SB6,1SB6SFT,SFT,NR3,NR,3,1
1YN2,1YN2WHY,WHY,1YBTHLIB,1YBTHLIB,1,1
1YN2,1YN2WHY,WHY,1YNLIB,1YNLIB,1,1
1YN2,1YN2WHY,WHY,1YNLIBB,1YNLIBB,1,1
1YN2,1YN2WHY,WHY,1YNM,RQSY,3,1
1YN2,1YN2WHY,WHY,NR2,NR,2,1
1YN2,1YN2SCJ,SCJ,1YBTHLIB,1YBTHLIB,1,2
1YN2,1YN2SCJ,SCJ,1YNLIB,1YNLIB,1,2
1YN2,1YN2SCJ,SCJ,1YNLIBB,1YNLIBB,1,2
1YN2,1YN2SCJ,SCJ,1YNM,RQSY,3,2
1YN2,1YN2SCJ,SCJ,NR2,NR,2,2
1YN2,1YN2GBJ,GBJ,1YNLIB,1YNLIB,1,4
1YN2,1YN2GBJ,GBJ,1YNLIBB,1YNLIBB,1,4
1YN2,1YN2GBJ,GBJ,1YNM,RQSY,3,4
1YN2,1YN2GBJ,GBJ,NR3,NR,3,4
1YN2,1YN2BHQ,BHQ,1YBTHLIB,1YBTHLIB,1,3
1YN2,1YN2BHQ,BHQ,1YNLIB,1YNLIB,1,3
1YN2,1YN2BHQ,BHQ,1YNLIBB,1YNLIBB,1,3
1YN2,1YN2BHQ,BHQ,1YNM,RQSY,3,3
1YN2,1YN2BHQ,BHQ,NR2,NR,2,3
2AM5,2AM5AFT,AFT,2AB6,SQTY,1,1
2AM5,2AM5AFT,AFT,2AM5,RRAY,1,1
2AM5,2AM5AFT,AFT,2AM5,RQSY,1,1
2AM5,2AM5AFT,AFT,2AM5,RQJW,5,1
2AM5,2AM5AFT,AFT,2AM5,SQTY,11,1
2AM5,2AM5AFT,AFT,2AS6,SQTY,2,1
2AM5,2AM5AFT,AFT,6PMT,RQSY,10,1
2AM5,2AM5AFT,AFT,6PMT,RRYY,5,1
2AM5,2AM5AFT,AFT,NR3,NR,3,1
2AM5,2AM5TLB,TLB,2AB6,SQTY,1,2
2AM5,2AM5TLB,TLB,2AM5,RQJW,5,2
2AM5,2AM5TLB,TLB,2AM5,RQSY,1,2
2AM5,2AM5TLB,TLB,2AM5,RRAY,1,2
2AM5,2AM5TLB,TLB,2AM5,SQTY,11,2
2AM5,2AM5TLB,TLB,2AS6,SQTY,2,2
2AM5,2AM5TLB,TLB,6PMT,RRYY,5,2
2AM5,2AM5TLB,TLB,6PMT,RQSY,10,2
2AM5,2AM5TLB,TLB,NR3,NR,3,2
2AM8,2AM8KWK,KWK,NR1,NR,1,1
2BM4,2BM4SFT,SFT,2BA6,RQSY,1,2
2BM4,2BM4SFT,SFT,2BA6,RRAY,1,2
2BM4,2BM4SFT,SFT,2BA6,SQTY,2,2
2BM4,2BM4SFT,SFT,2BM4,RQJW,4,2
2BM4,2BM4SFT,SFT,2BM4,SQTY,3,2
2BM4,2BM4SFT,SFT,2BM4,RRQY,10,2
2BM4,2BM4SFT,SFT,2BM4,RRAY,3,2
2BM4,2BM4SFT,SFT,NR3,NR,3,2
2BM4,2BM4BFT,BFT,2BA6,RQSY,1,1
2BM4,2BM4BFT,BFT,2BA6,RRAY,1,1
2BM4,2BM4BFT,BFT,2BA6,SQTY,2,1
2BM4,2BM4BFT,BFT,2BM4,RQJW,4,1
2BM4,2BM4BFT,BFT,2BM4,SQTY,3,1
2BM4,2BM4BFT,BFT,2BM4,RRAY,3,1
2BM4,2BM4BFT,BFT,2BM4,RRQY,10,1
2BM4,2BM4BFT,BFT,NR3,NR,3,1
2CM3,2CM3ETT,ETT,BMNAPD-2,VQCY,24,6
2CM3,2CM3ETT,ETT,ETTAPD-2,VQCY,7,6
2CM3,2CM3ETT,ETT,GRFAPD-2,VQCY,21,6
2CM3,2CM3ETT,ETT,LETAPD-2,VQCY,5,6
2CM3,2CM3ETT,ETT,MADAPD-2,VQCY,7,6
2CM3,2CM3ETT,ETT,NR3,NR,3,6
2CM3,2CM3GRF,GRF,GRFAPD-2,VQCY,21,1
2CM3,2CM3GRF,GRF,LETAPD-2,VQCY,5,1
2CM3,2CM3GRF,GRF,NR3,NR,3,1
2CM3,2CM3LET,LET,GRFAPD-2,VQCY,21,2
2CM3,2CM3LET,LET,LETAPD-2,VQCY,5,2
2CM3,2CM3LET,LET,NR3,NR,3,2
2CM3,2CM3MAD,MAD,GRFAPD-2,VQCY,21,3
2CM3,2CM3MAD,MAD,LETAPD-2,VQCY,5,3
2CM3,2CM3MAD,MAD,MADAPD-2,VQCY,7,3
2CM3,2CM3MAD,MAD,NR3,NR,3,3
2CM3,2CM3JUE,JUE,GRFAPD-2,VQCY,21,4
2CM3,2CM3JUE,JUE,LETAPD-2,VQCY,5,4
2CM3,2CM3JUE,JUE,MADAPD-2,VQCY,7,4
2CM3,2CM3JUE,JUE,NR3,NR,3,4
2CM3,2CM3BMN,BMN,BMNAPD-2,VQCY,24,5
2CM3,2CM3BMN,BMN,GRFAPD-2,VQCY,21,5
2CM3,2CM3BMN,BMN,LETAPD-2,VQCY,5,5
2CM3,2CM3BMN,BMN,MADAPD-2,VQCY,7,5
2CM3,2CM3BMN,BMN,NR3,NR,3,5
2MA5,2MA5TLB,TLB,2MA5,RQJW,2,2
2MA5,2MA5TLB,TLB,2MA5,SQTY,4,2
2MA5,2MA5TLB,TLB,2MA5,RRYY,3,2
2MA5,2MA5TLB,TLB,2MA5,RRAY,1,2
2MA5,2MA5TLB,TLB,2MA5,RQSY,2,2
2MA5,2MA5TLB,TLB,2MPT,RRYY,7,2
2MA5,2MA5TLB,TLB,2MYLIB,2MYLIB,1,2
2MA5,2MA5TLB,TLB,NR3,NR,3,2
2MA5,2MA5MFT,MFT,2MA5,RQSY,2,1
2MA5,2MA5MFT,MFT,2MA5,SQTY,4,1
2MA5,2MA5MFT,MFT,2MA5,RRAY,1,1
2MA5,2MA5MFT,MFT,2MA5,RQJW,2,1
2MA5,2MA5MFT,MFT,2MA5,RRYY,3,1
2MA5,2MA5MFT,MFT,2MPT,RRYY,7,1
2MA5,2MA5MFT,MFT,2MYLIB,2MYLIB,1,1
2MA5,2MA5MFT,MFT,NR3,NR,3,1
2MB4,2MB4SFT,SFT,2MB4,RQJW,4,2
2MB4,2MB4SFT,SFT,2MB4,SQTY,5,2
2MB4,2MB4SFT,SFT,2MB4,RRQY,10,2
2MB4,2MB4SFT,SFT,2MB4,RRAY,4,2
2MB4,2MB4SFT,SFT,2MB4,RQSY,1,2
2MB4,2MB4SFT,SFT,NR3,NR,3,2
2MB4,2MB4MFT,MFT,2MB4,SQTY,5,1
2MB4,2MB4MFT,MFT,2MB4,RRQY,10,1
2MB4,2MB4MFT,MFT,2MB4,RRAY,4,1
2MB4,2MB4MFT,MFT,2MB4,RQSY,1,1
2MB4,2MB4MFT,MFT,2MB4,RQJW,4,1
2MB4,2MB4MFT,MFT,NR3,NR,3,1
