Train_Number,Leg_OD,Leg_ID,Date,Total_Capacity,Total_Utilised,Occupancy,Total_Packs,Packs_Used,Unassigned_Containers,Unassigned_Length
3MB4,MFT-SFT,1,2025-03-11,1033.8816000000002,970.1784000000002,0.9383844339622642,17,17,3,18.288
3MB4,MFT-SFT,1,2025-03-18,1033.8816000000002,918.6672000000002,0.888561320754717,17,15,0,0.0
3MB4,MFT-SFT,1,2025-03-25,1033.8816000000002,1001.5728000000003,0.9687500000000001,17,17,10,60.96
3MB4,MFT-SFT,1,2025-04-01,1033.8816000000002,510.53999999999996,0.49380896226415083,17,8,0,0.0
3MB4,MFT-SFT,1,2025-04-08,1033.8816000000002,1021.6896000000003,0.9882075471698114,17,17,46,371.856
3MB4,MFT-SFT,1,2025-04-15,1033.8816000000002,1017.7272000000003,0.9843750000000001,17,17,28,225.55200000000002
3MB4,MFT-SFT,1,2025-04-22,1033.8816000000002,987.2472000000002,0.9548938679245284,17,17,17,103.632
3MB4,MFT-SFT,1,2025-04-29,1033.8816000000002,452.32320000000004,0.4375,17,9,0,0.0
3MB4,MFT-SFT,1,2025-05-06,1033.8816000000002,1003.7064000000003,0.9708136792452832,17,17,32,256.03200000000004
3MB4,MFT-SFT,1,2025-05-13,1033.8816000000002,994.5624000000003,0.9619693396226416,17,17,24,195.072
3MB4,MFT-SFT,1,2025-05-20,1033.8816000000002,1018.9464000000003,0.9855542452830189,17,17,35,286.512
3MB4,MFT-SFT,1,2025-05-27,1033.8816000000002,1002.7920000000003,0.9699292452830189,17,17,27,219.45600000000002
3MB4,MFT-SFT,1,2025-06-03,1033.8816000000002,981.4560000000002,0.9492924528301888,17,17,13,91.44
3MB4,MFT-SFT,1,2025-06-10,1033.8816000000002,990.6000000000003,0.9581367924528302,17,17,32,231.64800000000002
3MB4,MFT-SFT,1,2025-06-17,1033.8816000000002,985.7232000000002,0.9534198113207548,17,17,30,182.88
3MB4,MFT-SFT,1,2025-06-24,1033.8816000000002,993.6480000000003,0.9610849056603774,17,17,26,207.264
3MB4,MFT-SFT,1,2025-07-01,1033.8816000000002,610.5144,0.590507075471698,17,12,1,18.288
3MB4,MFT-SFT,1,2025-07-08,1033.8816000000002,991.2096000000003,0.9587264150943398,17,17,15,91.44
3MB4,MFT-SFT,1,2025-07-15,1033.8816000000002,995.4768000000003,0.9628537735849058,17,17,26,195.072
3MB4,MFT-SFT,1,2025-07-22,1033.8816000000002,995.4768000000003,0.9628537735849058,17,17,24,170.68800000000002
3MB4,MFT-SFT,1,2025-07-29,1033.8816000000002,552.2975999999999,0.534198113207547,17,9,0,0.0
3MB4,MFT-SFT,1,2025-08-05,1033.8816000000002,1012.5456000000003,0.9793632075471699,17,17,34,292.608
3MB4,MFT-SFT,1,2025-08-12,1033.8816000000002,1013.4600000000003,0.9802476415094341,17,17,38,335.28000000000003
3MB4,MFT-SFT,1,2025-08-19,1033.8816000000002,1010.1072000000003,0.9770047169811322,17,17,32,268.224
3MB4,MFT-SFT,1,2025-08-26,1033.8816000000002,985.4184000000002,0.9531250000000001,17,17,25,182.88
3MB4,MFT-SFT,1,2025-09-02,1033.8816000000002,632.7648,0.6120283018867924,17,12,1,18.288
3MB4,MFT-SFT,1,2025-09-09,1033.8816000000002,993.6480000000003,0.9610849056603774,17,17,26,195.072
3MB4,MFT-SFT,1,2025-09-16,1033.8816000000002,1018.0320000000003,0.9846698113207548,17,17,32,249.936
3MB4,MFT-SFT,1,2025-09-23,1033.8816000000002,990.6000000000003,0.9581367924528302,17,17,25,170.68800000000002
3MB4,MFT-SFT,1,2025-09-30,1033.8816000000002,569.3663999999999,0.5507075471698111,17,10,0,0.0
3MB4,MFT-SFT,1,2025-10-07,1033.8816000000002,1033.8816000000002,1.0,17,17,103,1060.0944
3MB4,MFT-SFT,1,2025-10-14,1033.8816000000002,893.6736000000002,0.8643867924528302,17,14,0,0.0
3MB4,MFT-SFT,1,2025-10-21,1033.8816000000002,857.0976000000002,0.8290094339622642,17,14,0,0.0
3MB4,MFT-SFT,1,2025-10-28,1033.8816000000002,997.9152000000003,0.9652122641509435,17,17,22,152.4
3MB4,MFT-SFT,1,2025-11-04,1033.8816000000002,1007.0592000000003,0.974056603773585,17,17,19,146.304
3MB4,MFT-SFT,1,2025-11-11,1033.8816000000002,643.7376,0.6226415094339622,17,10,0,0.0
3MB4,MFT-SFT,1,2025-11-18,1033.8816000000002,1025.9568000000002,0.9923349056603774,17,17,30,213.36
3MB4,MFT-SFT,1,2025-11-25,1033.8816000000002,1021.0800000000003,0.987617924528302,17,17,31,188.976
3MB4,MFT-SFT,1,2025-12-09,1033.8816000000002,1030.2240000000002,0.9964622641509434,17,17,36,326.7456
3MB4,MFT-SFT,1,2025-12-16,1033.8816000000002,1024.7376000000002,0.9911556603773585,17,17,34,299.9232
3MB4,MFT-SFT,1,2025-12-23,1033.8816000000002,1026.5664000000002,0.9929245283018868,17,17,32,249.936
3MB4,SFT-BFT,2,2025-01-07,1033.8816000000002,1016.8128000000003,0.983490566037736,17,17,34,207.264
3MB4,SFT-BFT,2,2025-01-14,1033.8816000000002,1022.9088000000002,0.9893867924528302,17,17,67,591.312
3MB4,SFT-BFT,2,2025-01-21,1033.8816000000002,1031.1384000000003,0.9973466981132076,17,17,63,543.1536
3MB4,SFT-BFT,2,2025-01-28,1033.8816000000002,759.5616000000001,0.7346698113207547,17,12,0,0.0
3MB4,SFT-BFT,2,2025-02-04,1033.8816000000002,1000.0488000000003,0.9672759433962265,17,17,24,188.976
3MB4,SFT-BFT,2,2025-02-11,1033.8816000000002,993.9528000000003,0.9613797169811321,17,17,14,91.44
3MB4,SFT-BFT,2,2025-02-18,1033.8816000000002,1014.0696000000003,0.9808372641509435,17,17,28,249.936
3MB4,SFT-BFT,2,2025-02-25,1033.8816000000002,1007.9736000000003,0.9749410377358492,17,17,24,207.264
3MB4,SFT-BFT,2,2025-03-04,1033.8816000000002,975.0552000000001,0.9431014150943396,17,17,0,0.0
3MB4,SFT-BFT,2,2025-03-11,1033.8816000000002,970.1784000000002,0.9383844339622642,17,17,3,18.288
3MB4,SFT-BFT,2,2025-03-18,1033.8816000000002,918.6672000000002,0.888561320754717,17,15,0,0.0
3MB4,SFT-BFT,2,2025-03-25,1033.8816000000002,1001.5728000000003,0.9687500000000001,17,17,10,60.96
3MB4,SFT-BFT,2,2025-04-01,1033.8816000000002,510.53999999999996,0.49380896226415083,17,8,0,0.0
3MB4,SFT-BFT,2,2025-04-08,1033.8816000000002,1021.6896000000003,0.9882075471698114,17,17,46,371.856
3MB4,SFT-BFT,2,2025-04-15,1033.8816000000002,1017.7272000000003,0.9843750000000001,17,17,28,225.55200000000002
3MB4,SFT-BFT,2,2025-04-22,1033.8816000000002,987.2472000000002,0.9548938679245284,17,17,17,103.632
3MB4,SFT-BFT,2,2025-04-29,1033.8816000000002,452.32320000000004,0.4375,17,9,0,0.0
3MB4,SFT-BFT,2,2025-05-06,1033.8816000000002,1003.7064000000003,0.9708136792452832,17,17,32,256.03200000000004
3MB4,SFT-BFT,2,2025-05-13,1033.8816000000002,994.5624000000003,0.9619693396226416,17,17,24,195.072
3MB4,SFT-BFT,2,2025-05-20,1033.8816000000002,1018.9464000000003,0.9855542452830189,17,17,35,286.512
3MB4,SFT-BFT,2,2025-05-27,1033.8816000000002,1002.7920000000003,0.9699292452830189,17,17,27,219.45600000000002
3MB4,SFT-BFT,2,2025-06-03,1033.8816000000002,981.4560000000002,0.9492924528301888,17,17,13,91.44
3MB4,SFT-BFT,2,2025-06-10,1033.8816000000002,990.6000000000003,0.9581367924528302,17,17,32,231.64800000000002
3MB4,SFT-BFT,2,2025-06-17,1033.8816000000002,985.7232000000002,0.9534198113207548,17,17,30,182.88
3MB4,SFT-BFT,2,2025-06-24,1033.8816000000002,993.6480000000003,0.9610849056603774,17,17,26,207.264
3MB4,SFT-BFT,2,2025-07-01,1033.8816000000002,610.5144,0.590507075471698,17,12,1,18.288
3MB4,SFT-BFT,2,2025-07-08,1033.8816000000002,991.2096000000003,0.9587264150943398,17,17,15,91.44
3MB4,SFT-BFT,2,2025-07-15,1033.8816000000002,995.4768000000003,0.9628537735849058,17,17,26,195.072
3MB4,SFT-BFT,2,2025-07-22,1033.8816000000002,995.4768000000003,0.9628537735849058,17,17,24,170.68800000000002
3MB4,SFT-BFT,2,2025-07-29,1033.8816000000002,552.2975999999999,0.534198113207547,17,9,0,0.0
3MB4,SFT-BFT,2,2025-08-05,1033.8816000000002,1012.5456000000003,0.9793632075471699,17,17,34,292.608
3MB4,SFT-BFT,2,2025-08-12,1033.8816000000002,1013.4600000000003,0.9802476415094341,17,17,38,335.28000000000003
3MB4,SFT-BFT,2,2025-08-19,1033.8816000000002,1010.1072000000003,0.9770047169811322,17,17,32,268.224
3MB4,SFT-BFT,2,2025-08-26,1033.8816000000002,985.4184000000002,0.9531250000000001,17,17,25,182.88
3MB4,SFT-BFT,2,2025-09-02,1033.8816000000002,632.7648,0.6120283018867924,17,12,1,18.288
3MB4,SFT-BFT,2,2025-09-09,1033.8816000000002,993.6480000000003,0.9610849056603774,17,17,26,195.072
3MB4,SFT-BFT,2,2025-09-16,1033.8816000000002,1018.0320000000003,0.9846698113207548,17,17,32,249.936
3MB4,SFT-BFT,2,2025-09-23,1033.8816000000002,990.6000000000003,0.9581367924528302,17,17,25,170.68800000000002
3MB4,SFT-BFT,2,2025-09-30,1033.8816000000002,569.3663999999999,0.5507075471698111,17,10,0,0.0
3MB4,SFT-BFT,2,2025-10-07,1033.8816000000002,1033.8816000000002,1.0,17,17,103,1060.0944
3MB4,SFT-BFT,2,2025-10-14,1033.8816000000002,893.6736000000002,0.8643867924528302,17,14,0,0.0
3MB4,SFT-BFT,2,2025-10-21,1033.8816000000002,857.0976000000002,0.8290094339622642,17,14,0,0.0
3MB4,SFT-BFT,2,2025-10-28,1033.8816000000002,997.9152000000003,0.9652122641509435,17,17,22,152.4
3MB4,SFT-BFT,2,2025-11-04,1033.8816000000002,1007.0592000000003,0.974056603773585,17,17,19,146.304
3MB4,SFT-BFT,2,2025-11-11,1033.8816000000002,643.7376,0.6226415094339622,17,10,0,0.0
3MB4,SFT-BFT,2,2025-11-18,1033.8816000000002,1025.9568000000002,0.9923349056603774,17,17,30,213.36
3MB4,SFT-BFT,2,2025-11-25,1033.8816000000002,1021.0800000000003,0.987617924528302,17,17,31,188.976
3MB4,SFT-BFT,2,2025-12-09,1033.8816000000002,1030.2240000000002,0.9964622641509434,17,17,36,326.7456
3MB4,SFT-BFT,2,2025-12-16,1033.8816000000002,1024.7376000000002,0.9911556603773585,17,17,34,299.9232
3MB4,SFT-BFT,2,2025-12-23,1033.8816000000002,1026.5664000000002,0.9929245283018868,17,17,32,249.936
3MB5,MFT-ETT,1,2025-02-04,580.3392,554.736,0.9558823529411764,13,13,20,121.92
3MB5,MFT-ETT,1,2025-02-11,580.3392,571.8047999999999,0.9852941176470587,13,13,46,280.416
3MB5,MFT-ETT,1,2025-02-25,580.3392,546.2016,0.9411764705882353,13,13,32,195.072
3MB5,MFT-ETT,1,2025-03-11,580.3392,552.2975999999999,0.9516806722689073,13,13,22,134.112
3MB5,MFT-ETT,1,2025-03-18,580.3392,566.9279999999999,0.9768907563025208,13,13,12,73.152
3MB5,MFT-ETT,1,2025-03-25,580.3392,562.0512,0.9684873949579832,13,13,37,331.3176
3MB5,MFT-ETT,1,2025-04-01,580.3392,552.2975999999999,0.9516806722689073,13,13,63,384.048
3MB5,MFT-ETT,1,2025-05-06,580.3392,347.47200000000004,0.5987394957983194,13,6,0,0.0
3MB5,MFT-ETT,1,2025-08-05,580.3392,475.48799999999994,0.8193277310924368,13,11,0,0.0
3MB5,MFT-ETT,1,2025-08-12,580.3392,541.3247999999999,0.9327731092436973,13,13,27,164.592
3MB5,MFT-ETT,1,2025-09-02,580.3392,549.2495999999999,0.9464285714285712,13,13,42,256.03200000000004
3MB5,MFT-ETT,1,2025-09-09,580.3392,541.3247999999999,0.9327731092436973,13,13,12,73.152
3MB5,MFT-ETT,1,2025-09-16,580.3392,539.496,0.9296218487394957,13,13,42,256.03200000000004
3MB5,MFT-ETT,1,2025-09-23,580.3392,553.5167999999999,0.9537815126050418,13,13,12,73.152
3MB5,MFT-ETT,1,2025-10-07,580.3392,563.2703999999999,0.9705882352941174,13,13,158,1139.952
