Container_Type,Train_Number,Leg_ID,Date,Num_Containers
40,2BM4,1,2025-01-27,15
40,2BM4,1,2025-04-07,10
40,2BM4,1,2025-04-21,27
40,2BM4,1,2025-05-12,18
40,2BM4,1,2025-05-26,1
40,2BM4,1,2025-08-18,5
40,2BM4,1,2025-08-25,1
40,2BM4,1,2025-09-15,2
40,2BM4,1,2025-11-03,5
40,2BM4,1,2025-11-10,6
40,2BM4,1,2025-11-17,1
40,2BM4,1,2025-12-08,11
40,2BM4,1,2025-12-15,5
40,2BM4,1,2025-12-22,5
40,2BM4,2,2025-01-13,6
40,2BM4,2,2025-01-20,9
40,2BM4,2,2025-01-27,15
40,2BM4,2,2025-04-07,10
40,2BM4,2,2025-04-21,27
40,2BM4,2,2025-05-12,18
40,2BM4,2,2025-05-26,1
40,2BM4,2,2025-08-18,5
40,2BM4,2,2025-08-25,1
40,2BM4,2,2025-09-15,2
40,2BM4,2,2025-11-03,5
40,2BM4,2,2025-11-10,6
40,2BM4,2,2025-11-17,1
40,2BM4,2,2025-12-08,11
40,2BM4,2,2025-12-15,5
40,2BM4,2,2025-12-22,5
40,2MB4,1,2025-01-13,7
40,2MB4,1,2025-01-20,4
40,2MB4,1,2025-01-27,7
40,2MB4,1,2025-04-07,3
40,2MB4,1,2025-04-14,7
40,2MB4,1,2025-04-21,10
40,2MB4,1,2025-05-12,3
40,2MB4,1,2025-05-19,8
40,2MB4,1,2025-05-26,1
40,2MB4,1,2025-08-04,3
40,2MB4,1,2025-08-18,5
40,2MB4,1,2025-09-15,6
40,2MB4,1,2025-10-06,34
40,2MB4,1,2025-11-03,10
40,2MB4,1,2025-11-17,8
40,2MB4,1,2025-11-24,3
40,2MB4,1,2025-12-08,8
40,2MB4,1,2025-12-15,9
40,2MB4,2,2025-01-13,7
40,2MB4,2,2025-01-20,4
40,2MB4,2,2025-01-27,7
40,2MB4,2,2025-04-07,3
40,2MB4,2,2025-04-14,7
40,2MB4,2,2025-04-21,10
40,2MB4,2,2025-05-12,3
40,2MB4,2,2025-05-19,8
40,2MB4,2,2025-05-26,1
40,2MB4,2,2025-08-04,3
40,2MB4,2,2025-08-18,5
40,2MB4,2,2025-09-15,6
40,2MB4,2,2025-10-06,34
40,2MB4,2,2025-11-03,10
40,2MB4,2,2025-11-17,8
40,2MB4,2,2025-11-24,3
40,2MB4,2,2025-12-08,8
40,2MB4,2,2025-12-15,9
40,3BM4,1,2025-01-07,6
40,3BM4,1,2025-01-14,11
40,3BM4,1,2025-10-07,21
40,3BM4,1,2025-11-04,3
40,3BM4,1,2025-11-11,5
40,3BM4,1,2025-11-18,1
40,3BM4,1,2025-12-09,4
40,3BM4,2,2025-01-07,6
40,3BM4,2,2025-01-14,11
40,3BM4,2,2025-10-07,21
40,3BM4,2,2025-11-04,3
40,3BM4,2,2025-11-11,5
40,3BM4,2,2025-11-18,1
40,3BM4,2,2025-12-09,4
40,3BM4,3,2025-01-07,14
40,3BM4,3,2025-01-14,19
40,3BM4,3,2025-01-21,6
40,3BM4,3,2025-02-18,2
40,3BM4,3,2025-02-25,5
40,3BM4,3,2025-04-08,4
40,3BM4,3,2025-05-27,3
40,3BM4,3,2025-06-24,1
40,3BM4,3,2025-08-05,2
40,3BM4,3,2025-09-16,1
40,3BM4,3,2025-10-07,21
40,3BM4,3,2025-11-04,11
40,3BM4,3,2025-11-11,11
40,3BM4,3,2025-11-18,9
40,3BM4,3,2025-12-09,12
40,3BM4,3,2025-12-16,5
40,3BM4,3,2025-12-23,3
40,3MB4,1,2025-01-14,30
40,3MB4,1,2025-01-21,23
40,3MB4,1,2025-02-04,7
40,3MB4,1,2025-02-11,1
40,3MB4,1,2025-02-18,13
40,3MB4,1,2025-02-25,10
40,3MB4,1,2025-04-08,15
40,3MB4,1,2025-04-15,9
40,3MB4,1,2025-05-06,10
40,3MB4,1,2025-05-13,8
40,3MB4,1,2025-05-20,12
40,3MB4,1,2025-05-27,9
40,3MB4,1,2025-06-10,4
40,3MB4,1,2025-06-24,6
40,3MB4,1,2025-07-15,2
40,3MB4,1,2025-07-22,4
40,3MB4,1,2025-08-05,10
40,3MB4,1,2025-08-12,11
40,3MB4,1,2025-08-19,12
40,3MB4,1,2025-08-26,5
40,3MB4,1,2025-09-09,4
40,3MB4,1,2025-09-16,9
40,3MB4,1,2025-09-23,1
40,3MB4,1,2025-10-07,40
40,3MB4,1,2025-10-28,3
40,3MB4,1,2025-11-04,5
40,3MB4,1,2025-11-18,5
40,3MB4,1,2025-12-09,12
40,3MB4,1,2025-12-16,13
40,3MB4,1,2025-12-23,9
40,3MB4,2,2025-01-14,30
40,3MB4,2,2025-01-21,23
40,3MB4,2,2025-02-04,7
40,3MB4,2,2025-02-11,1
40,3MB4,2,2025-02-18,13
40,3MB4,2,2025-02-25,10
40,3MB4,2,2025-04-08,15
40,3MB4,2,2025-04-15,9
40,3MB4,2,2025-05-06,10
40,3MB4,2,2025-05-13,8
40,3MB4,2,2025-05-20,12
40,3MB4,2,2025-05-27,9
40,3MB4,2,2025-06-10,4
40,3MB4,2,2025-06-24,6
40,3MB4,2,2025-07-15,2
40,3MB4,2,2025-07-22,4
40,3MB4,2,2025-08-05,10
40,3MB4,2,2025-08-12,11
40,3MB4,2,2025-08-19,12
40,3MB4,2,2025-08-26,5
40,3MB4,2,2025-09-09,4
40,3MB4,2,2025-09-16,9
40,3MB4,2,2025-09-23,1
40,3MB4,2,2025-10-07,40
40,3MB4,2,2025-10-28,3
40,3MB4,2,2025-11-04,5
40,3MB4,2,2025-11-18,5
40,3MB4,2,2025-12-09,12
40,3MB4,2,2025-12-16,13
40,3MB4,2,2025-12-23,9
40,3MB5,1,2025-03-25,8
40,3MB5,1,2025-10-07,22
40,3MB5,2,2025-03-25,8
40,3MB5,2,2025-10-07,22
40,3MB5,3,2025-02-04,11
40,3MB5,3,2025-02-11,11
40,3MB5,3,2025-02-25,6
40,3MB5,3,2025-03-11,11
40,3MB5,3,2025-03-18,10
40,3MB5,3,2025-03-25,12
40,3MB5,3,2025-04-01,9
40,3MB5,3,2025-09-23,13
40,3MB5,3,2025-10-07,46
40,4BM4,1,2025-01-15,6
40,4BM4,1,2025-02-05,10
40,4BM4,1,2025-02-12,3
40,4BM4,1,2025-02-19,8
40,4BM4,1,2025-04-09,3
40,4BM4,1,2025-08-06,2
40,4BM4,1,2025-08-27,1
40,4BM4,1,2025-09-03,5
40,4BM4,1,2025-09-24,2
40,4BM4,1,2025-10-08,29
40,4BM4,1,2025-11-05,5
40,4BM4,1,2025-11-12,6
40,4BM4,1,2025-11-26,9
40,4BM4,1,2025-12-03,16
40,4BM4,1,2025-12-10,6
40,4BM4,1,2025-12-24,11
40,4BM4,1,2025-12-31,5
40,4BM4,2,2025-01-15,6
40,4BM4,2,2025-02-05,10
40,4BM4,2,2025-02-12,3
40,4BM4,2,2025-02-19,8
40,4BM4,2,2025-04-09,3
40,4BM4,2,2025-08-06,2
40,4BM4,2,2025-08-27,1
40,4BM4,2,2025-09-03,5
40,4BM4,2,2025-09-24,2
40,4BM4,2,2025-10-08,29
40,4BM4,2,2025-11-05,5
40,4BM4,2,2025-11-12,6
40,4BM4,2,2025-11-26,9
40,4BM4,2,2025-12-03,16
40,4BM4,2,2025-12-10,6
40,4BM4,2,2025-12-24,11
40,4BM4,2,2025-12-31,5
40,4MB4,1,2025-01-08,17
40,4MB4,1,2025-01-15,18
40,4MB4,1,2025-01-22,9
40,4MB4,1,2025-02-05,16
40,4MB4,1,2025-02-12,15
40,4MB4,1,2025-02-19,13
40,4MB4,1,2025-04-09,20
40,4MB4,1,2025-04-16,17
40,4MB4,1,2025-04-23,14
40,4MB4,1,2025-05-07,13
40,4MB4,1,2025-05-14,8
40,4MB4,1,2025-05-21,13
40,4MB4,1,2025-05-28,11
40,4MB4,1,2025-06-04,9
40,4MB4,1,2025-06-11,11
40,4MB4,1,2025-06-18,7
40,4MB4,1,2025-06-25,1
40,4MB4,1,2025-07-16,7
40,4MB4,1,2025-07-23,3
40,4MB4,1,2025-08-06,14
40,4MB4,1,2025-08-13,17
40,4MB4,1,2025-08-20,8
40,4MB4,1,2025-08-27,13
40,4MB4,1,2025-09-03,12
40,4MB4,1,2025-09-10,14
40,4MB4,1,2025-09-17,14
40,4MB4,1,2025-09-24,10
40,4MB4,1,2025-10-08,25
40,4MB4,1,2025-11-05,19
40,4MB4,1,2025-11-12,5
40,4MB4,1,2025-11-19,15
40,4MB4,1,2025-11-26,18
40,4MB4,1,2025-12-03,19
40,4MB4,1,2025-12-10,14
40,4MB4,1,2025-12-17,8
40,4MB4,1,2025-12-24,17
40,4MB4,1,2025-12-31,7
40,4MB4,2,2025-01-08,17
40,4MB4,2,2025-01-15,18
40,4MB4,2,2025-01-22,9
40,4MB4,2,2025-02-05,16
40,4MB4,2,2025-02-12,15
40,4MB4,2,2025-02-19,13
40,4MB4,2,2025-04-09,20
40,4MB4,2,2025-04-16,17
40,4MB4,2,2025-04-23,14
40,4MB4,2,2025-05-07,13
40,4MB4,2,2025-05-14,8
40,4MB4,2,2025-05-21,13
40,4MB4,2,2025-05-28,11
40,4MB4,2,2025-06-04,9
40,4MB4,2,2025-06-11,11
40,4MB4,2,2025-06-18,7
40,4MB4,2,2025-06-25,1
40,4MB4,2,2025-07-16,7
40,4MB4,2,2025-07-23,3
40,4MB4,2,2025-08-06,14
40,4MB4,2,2025-08-13,17
40,4MB4,2,2025-08-20,8
40,4MB4,2,2025-08-27,13
40,4MB4,2,2025-09-03,12
40,4MB4,2,2025-09-10,14
40,4MB4,2,2025-09-17,14
40,4MB4,2,2025-09-24,10
40,4MB4,2,2025-10-08,25
40,4MB4,2,2025-11-05,19
40,4MB4,2,2025-11-12,5
40,4MB4,2,2025-11-19,15
40,4MB4,2,2025-11-26,18
40,4MB4,2,2025-12-03,19
40,4MB4,2,2025-12-10,14
40,4MB4,2,2025-12-17,8
40,4MB4,2,2025-12-24,17
40,4MB4,2,2025-12-31,7
40,5BM4,1,2025-01-09,8
40,5BM4,1,2025-01-16,18
40,5BM4,1,2025-01-23,4
40,5BM4,1,2025-02-06,1
40,5BM4,1,2025-02-20,2
40,5BM4,1,2025-04-03,8
40,5BM4,1,2025-04-10,18
40,5BM4,1,2025-05-08,3
40,5BM4,1,2025-08-07,4
40,5BM4,1,2025-08-14,4
40,5BM4,1,2025-08-21,4
40,5BM4,1,2025-09-25,8
40,5BM4,1,2025-11-06,15
40,5BM4,1,2025-11-13,7
40,5BM4,1,2025-11-20,9
40,5BM4,1,2025-11-27,12
40,5BM4,1,2025-12-04,15
40,5BM4,1,2025-12-11,1
40,5BM4,1,2025-12-18,17
40,5BM4,1,2025-12-25,9
40,5BM4,2,2025-01-09,8
40,5BM4,2,2025-01-16,18
40,5BM4,2,2025-01-23,4
40,5BM4,2,2025-02-06,1
40,5BM4,2,2025-02-20,2
40,5BM4,2,2025-04-03,8
40,5BM4,2,2025-04-10,18
40,5BM4,2,2025-05-08,3
40,5BM4,2,2025-08-07,4
40,5BM4,2,2025-08-14,4
40,5BM4,2,2025-08-21,4
40,5BM4,2,2025-09-25,8
40,5BM4,2,2025-11-06,15
40,5BM4,2,2025-11-13,7
40,5BM4,2,2025-11-20,9
40,5BM4,2,2025-11-27,12
40,5BM4,2,2025-12-04,15
40,5BM4,2,2025-12-11,1
40,5BM4,2,2025-12-18,17
40,5BM4,2,2025-12-25,9
40,5MB4,1,2025-01-16,1
40,5MB4,1,2025-01-23,4
40,5MB4,1,2025-04-17,8
40,5MB4,1,2025-08-07,4522
40,5MB4,1,2025-11-06,2
40,5MB4,1,2025-11-13,8
40,5MB4,1,2025-11-20,2
40,5MB4,1,2025-12-04,11
40,5MB4,1,2025-12-11,4
40,5MB4,1,2025-12-18,3
40,5MB4,2,2025-01-16,1
40,5MB4,2,2025-01-23,4
