TRAIN_NAME,TRAIN,ORIGIN,DEP_TIME,DEP_DAY,ARR_TIME,ARR_DAY,DESTINATION,LEG_NUM
7BM2,7BM2GFN,GFN,4:06:00,Sunday,4:06:00,Sunday,MOR,5
7BM4,7bm4BFT,BFT,19:20:00,Saturday,19:20:00,Sunday,SFT,1
7BM4,7BM4SFT,SFT,14:25:00,Sunday,14:25:00,Monday,ETT,2
7BM4,7bm4ETT,ETT,0:45:00,Monday,0:45:00,Monday,MFT,3
7BS3,7bs3BFT,BFT,0:40:00,Saturday,0:40:00,Saturday,SFT,1
7BS4,7bs4BFT,BFT,22:05:00,Saturday,22:05:00,Sunday,GFN,1
7BS4,7BS4GFN,GFN,4:13:00,Sunday,4:13:00,Sunday,MOR,2
7BS4,7BS4MOR,MOR,17:38:00,Sunday,17:38:00,Sunday,SFT,3
7BS6,7BS6BFT,BFT,0:35:00,Saturday,0:35:00,Saturday,SFT,1
7BW2,7BW2BFT,BFT,7:05:00,Saturday,7:05:00,Saturday,GFN,1
7BW2,7BW2GFN,GFN,11:57:00,Saturday,11:57:00,Sunday,MOR,2
7BW2,7BW2MOR,MOR,1:09:00,Sunday,1:09:00,Sunday,SFT,3
7BW2,7BW2SFT,SFT,7:33:00,Sunday,7:33:00,Sunday,PTK,4
7BW4,7bw4BFT,BFT,21:50:00,Saturday,21:50:00,Sunday,GFN,1
7BW4,7bw4GFN,GFN,4:06:00,Sunday,4:06:00,Sunday,MOR,2
7BW4,7bw4MOR,MOR,17:41:00,Sunday,17:41:00,Sunday,SFT,3
7MA8,7MA8SPG,SPG,8:05:00,Saturday,8:05:00,Saturday,KWK,1
7MB4,7mb4MFT,MFT,22:00:00,Saturday,22:00:00,Sunday,ETT,1
7MB4,7MB4ETT,ETT,2:40:00,Sunday,2:40:00,Sunday,SFT,2
7MB4,7mb4SFT,SFT,12:51:00,Sunday,12:51:00,Monday,BFT,3
7MC2,7MC2APD,APD,16:40:00,Saturday,16:40:00,Saturday,ETT,1
7MC2,7MC2ETT,ETT,21:41:00,Saturday,21:41:00,Saturday,BMN,2
7MC2,7MC2BMN,BMN,0:49:00,Sunday,0:49:00,Sunday,JUE,3
7MP5,7MP5MFT,MFT,18:45:00,Saturday,18:45:00,Sunday,TLB,1
7MP5,7MP5TLB,TLB,3:28:00,Sunday,3:28:00,Sunday,AFT,2
7MP5,7MP5AFT,AFT,12:55:00,Sunday,12:55:00,Monday,SCJ,3
7MP5,7mp5SCJ,SCJ,18:50:00,Sunday,18:50:00,Monday,WEK,4
7MP5,7mp5WEK,WEK,18:10:00,Monday,18:10:00,Tuesday,PFT,5
7MP7,7mp7MFT,MFT,1:10:00,Saturday,1:10:00,Saturday,TLB,1
7MP7,7mp7TLB,TLB,8:55:00,Saturday,8:55:00,Saturday,AFT,2
7MP7,7mp7AFT,AFT,12:30:00,Saturday,12:30:00,Saturday,SCJ,3
7MP7,7mp7SCJ,SCJ,16:45:00,Saturday,16:45:00,Sunday,PFT,4
7MS4,7ms4MFT,MFT,13:00:00,Saturday,13:00:00,Saturday,ETT,1
7MS4,7ms4ETT,ETT,16:50:00,Saturday,16:50:00,Sunday,SFT,2
7P50,7P50PFT,PFT,6:30:00,Saturday,6:30:00,Saturday,SSK,1
7P51,7P51SSK,SSK,7:05:00,Saturday,7:05:00,Saturday,PFT,1
7PM5,7pm5PFT,PFT,15:35:00,Saturday,15:35:00,Monday,COK,1
7PM5,7pm5SCJ,COK,12:00:00,Monday,12:00:00,Monday,SCJ,2
7PM5,7pm5AFT,SCJ,8:25:00,Tuesday,8:25:00,Tuesday,AFT,3
7PM5,7pm5TLB,AFT,12:13:00,Tuesday,12:13:00,Wednesday,TLB,4
7PM6,7pm6PFT,PFT,5:50:00,Saturday,5:50:00,Monday,SCJ,1
7PM6,7pm6SCJ,SCJ,6:10:00,Monday,6:10:00,Monday,AFT,2
7PM6,7pm61500,AFT,21:00:00,Monday,21:00:00,Monday,TLB,3
7PM6,7pm6TLB,TLB,23:57:00,Monday,23:57:00,Tuesday,MFT,4
7PS6,7PS6PFT,PFT,9:45:00,Saturday,9:45:00,Monday,SCJ,1
7PS6,7PS6SCJ,SCJ,6:05:00,Monday,6:05:00,Tuesday,GBJ,2
7PS6,7PS6GBJ,GBJ,4:30:00,Tuesday,4:30:00,Tuesday,SFT,3
7PX4,7PX4PFT,PFT,8:50:00,Saturday,8:50:00,Saturday,WEK,1
7PX4,7PX4WEK,WEK,21:00:00,Saturday,21:00:00,Sunday,COK,2
7PX4,7PX4COK,COK,17:45:00,Sunday,17:45:00,Monday,SCJ,3
7SA5,7sa5SFT,SFT,18:53:00,Saturday,18:53:00,Sunday,GBJ,1
7SA5,7SA5GBJ,GBJ,5:45:00,Sunday,5:45:00,Sunday,AFT,2
7SB3,7sb3SFT,SFT,22:20:00,Saturday,22:20:00,Sunday,MOR,1
7SB3,7sb3MOR,MOR,4:43:00,Sunday,4:43:00,Sunday,GFN,2
7SB3,7sb3GFN,GFN,16:23:00,Sunday,16:23:00,Sunday,BFT,3
7SB5,7sb5SFT,SFT,12:50:00,Saturday,12:50:00,Sunday,BFT,1
7SG1,7sg1SFT,SFT,6:00:00,Saturday,6:00:00,Saturday,GBJ,1
7SM2,7sm2SFT,SFT,23:50:00,Saturday,23:50:00,Sunday,ETT,1
7SM2,7sm2ETT,ETT,10:02:00,Sunday,10:02:00,Sunday,MFT,2
7SM5,7SM5SFT,SFT,23:45:00,Saturday,23:45:00,Sunday,ETT,1
7SM5,7sm5ETT,ETT,10:05:00,Sunday,10:05:00,Sunday,MFT,2
7SP3,7sp3SFT,SFT,3:00:00,Saturday,3:00:00,Saturday,GBJ,1
7SP3,7sp3GBJ,GBJ,13:00:00,Saturday,13:00:00,Sunday,SCJ,2
7SP3,7sp3SCJ,SCJ,7:15:00,Sunday,7:15:00,Monday,PFT,3
7SP5,7sp5SFT,SFT,13:45:00,Saturday,13:45:00,Saturday,GBJ,1
7SP5,7sp5GBJ,GBJ,2:10:00,Sunday,2:10:00,Sunday,SCJ,2
7SP5,7sp5SCJ,SCJ,18:10:00,Sunday,18:10:00,Tuesday,PFT,3
7SP7,7sp7SFT,SFT,0:10:00,Saturday,0:10:00,Saturday,GBJ,1
7SP7,7sp7GBJ,GBJ,9:30:00,Saturday,9:30:00,Saturday,SCJ,2
7SP7,7sp7SCJ,SCJ,22:30:00,Saturday,22:30:00,Monday,PFT,3
7WB3,7wb3PTK,PTK,17:42:00,Saturday,17:42:00,Saturday,ENF,1
7WB3,7wb3ENF,ENF,22:20:00,Saturday,22:20:00,Saturday,SFT,2
7WB3,7wb3SFT,SFT,20:47:00,Saturday,20:47:00,Sunday,MOR,3
7WB3,7wb3MOR,MOR,4:45:00,Sunday,4:45:00,Sunday,GFN,4
7WB3,7wb3GFN,GFN,16:23:00,Sunday,16:23:00,Sunday,BFT,5
7XM4,7xm4SCJ,SCJ,17:05:00,Saturday,17:05:00,Saturday,AFT,1
7XM4,7xm4AFT,AFT,1:50:00,Sunday,1:50:00,Sunday,MFT,2
7YN2,7YN2WHY,WHY,10:00:00,Saturday,10:00:00,Saturday,SCJ,1
7YN2,7YN2SCJ,SCJ,11:45:00,Saturday,11:45:00,Saturday,BHQ,2
7YN2,7YN2BHQ,BHQ,1:50:00,Sunday,1:50:00,Sunday,GBJ,3
7YN2,7YN2GBJ,GBJ,12:20:00,Sunday,12:20:00,Sunday,SFT,4
7YN2,7yn2SFT,SFT,2:12:00,Monday,2:12:00,Monday,MOR,5
8126,8126GBJ,GBJ,7:40:00,Friday,7:40:00,Friday,SFT,1
8126FRI,8126friGBJ,GBJ,7:15:00,Friday,7:15:00,Friday,SFT,1
8126SAT,8126satGBJ,GBJ,14:30:00,Saturday,14:30:00,Sunday,SFT,1
8426N,8426NMON,BHQ,10:20:00,Monday,10:20:00,Tuesday,MOR,1
8428N,8428NFRI,BHQ,0:10:00,Friday,0:10:00,Sunday,MOR,1
8843N,8843NMON,GBJ,15:40:00,Monday,15:40:00,Monday,BTH,1
8843N,8843NTHU,GBJ,16:10:00,Thursday,16:10:00,Thursday,BTH,1
8844N,8844NMON,BTH,21:00:00,Monday,21:00:00,Tuesday,GBJ,1
8844N,8844NTHU,BTH,21:23:00,Thursday,21:23:00,Friday,GBJ,1
8894N,8894NGBJ,GBJ,15:40:00,Monday,15:40:00,Monday,BTH,1
8895N,8895nBTH,BTH,21:00:00,Monday,21:00:00,Tuesday,GBJ,1
8934,8934FRI,CSB,14:15:00,Friday,14:15:00,Saturday,PTK,1
8934,8934MON,CSB,14:15:00,Monday,14:15:00,Tuesday,PTK,1
8934,8934SAT,CSB,13:30:00,Saturday,13:30:00,Saturday,PTK,1
8934,8934SUN,CSB,13:20:00,Sunday,13:20:00,Sunday,PTK,1
8934,8934THU,CSB,13:28:00,Thursday,13:28:00,Thursday,PTK,1
8934,8934TUE,CSB,13:28:00,Tuesday,13:28:00,Tuesday,PTK,1
8934,8934WED,CSB,14:15:00,Wednesday,14:15:00,Thursday,PTK,1
9120,9120MON,PTK,12:45:00,Monday,12:45:00,Monday,SFT,1
9120,9120SUN,PTK,17:41:00,Sunday,17:41:00,Sunday,SFT,1
9120,9120TUE,PTK,12:45:00,Tuesday,12:45:00,Tuesday,SFT,1
9120,9120WED,PTK,17:41:00,Wednesday,17:41:00,Thursday,MOR,1
9120,9120SUN,SFT,20:40:00,Sunday,20:40:00,Monday,MOR,2
9122,9122SUN,PTK,17:42:00,Sunday,17:42:00,Sunday,SFT,1
9122,9122THUR,PTK,22:47:00,Thursday,22:47:00,Friday,SFT,1
9122,9122TUE,PTK,22:47:00,Tuesday,22:47:00,Wednesday,SFT,1
9122,9122WED,PTK,22:47:00,Wednesday,22:47:00,Thursday,SFT,1
9136,9136PTK,PTK,22:22:00,Sunday,22:22:00,Monday,SFT,1
9227,9227A,PTK,6:23:00,Sunday,6:23:00,Sunday,MEQ,1
9227,9227B,PTK,5:34:00,Monday,5:34:00,Monday,MEQ,1
9227,9227C,PTK,5:34:00,Tuesday,5:34:00,Tuesday,MEQ,1
9227,9227D,PTK,5:34:00,Wednesday,5:34:00,Wednesday,MEQ,1
9227,9227E,PTK,5:34:00,Thursday,5:34:00,Thursday,MEQ,1
9227,9227F,PTK,5:34:00,Friday,5:34:00,Friday,MEQ,1
9227,9227G,PTK,6:23:00,Saturday,6:23:00,Saturday,MEQ,1
9420WED,9420WEDSFT,PTK,17:41:00,Wednesday,17:41:00,Thursday,MOR,1
9783V,9783VFRI,MFT,16:15:00,Friday,16:15:00,Friday,SNS,1
9783V,9783VMON,MFT,16:15:00,Monday,16:15:00,Monday,SNS,1
9783V,9783VTHU,MFT,16:15:00,Thursday,16:15:00,Thursday,SNS,1
9783V,9783VTUE,MFT,16:15:00,Tuesday,16:15:00,Tuesday,SNS,1
9784V,9784VFRI,SNS,18:55:00,Friday,18:55:00,Friday,MFT,1
9784V,9784VMON,SNS,18:55:00,Monday,18:55:00,Monday,MFT,1
9784V,9784VTHU,SNS,18:55:00,Thursday,18:55:00,Thursday,MFT,1
9784V,9784VTUE,SNS,18:55:00,Tuesday,18:55:00,Tuesday,MFT,1
9907V,9907VFRI,MFT,9:45:00,Friday,9:45:00,Friday,APD,1
9907V,9907VMFT,MFT,9:15:00,Wednesday,9:15:00,Wednesday,APD,1
9907V,9907VSUN,MFT,9:45:00,Sunday,9:45:00,Sunday,APD,1
9907V,9907VTHU,MFT,9:45:00,Thursday,9:45:00,Thursday,APD,1
9907V,9907VTUE,MFT,9:45:00,Tuesday,9:45:00,Tuesday,APD,1
9907V,9907VWED,MFT,9:45:00,Wednesday,9:45:00,Wednesday,APD,1
9908V,9908VAPD,APD,10:45:00,Wednesday,10:45:00,Wednesday,MFT,1
9908V,9908VMON,APD,15:30:00,Monday,15:30:00,Monday,MFT,1
9908V,9908VSUN,APD,11:30:00,Sunday,11:30:00,Sunday,MFT,1
9908V,9908VTHU,APD,11:30:00,Thursday,11:30:00,Thursday,MFT,1
9908V,9908VTUE,APD,11:30:00,Tuesday,11:30:00,Tuesday,MFT,1
9908V,9908VWED,APD,11:30:00,Wednesday,11:30:00,Wednesday,MFT,1
D106S,D106SWE,AFT,9:55:00,Wednesday,9:55:00,Wednesday,KWK,1
D116S,D116STHU,BRK,16:35:00,Thursday,16:35:00,Thursday,WGF,1
D117S,4D117S,AFT,13:20:00,Wednesday,13:20:00,Wednesday,PAD,1
D117S,6D117S,AFT,13:20:00,Friday,13:20:00,Friday,PAD,1
D119S,D119SFRI,AFT,19:00:00,Friday,19:00:00,Friday,WGF,1
D119S,D119SMON,AFT,19:00:00,Monday,19:00:00,Monday,WGF,1
D119S,D119STHU,AFT,19:20:00,Thursday,19:20:00,Thursday,WGF,1
D119S,D119STUE,AFT,19:00:00,Tuesday,19:00:00,Tuesday,WGF,1
D119S,D119SWED,AFT,19:00:00,Wednesday,19:00:00,Wednesday,WGF,1
DAS8,DAS8SA,SYD,13:12:00,Saturday,13:12:00,Saturday,SFT,1
DAS8,DAS8WE,SYD,13:29:00,Wednesday,13:29:00,Wednesday,SFT,1
DSA8,DSA8SA,SFT,9:09:00,Saturday,9:09:00,Saturday,SYD,1
DSA8,DSA8WE,SFT,9:00:00,Wednesday,9:00:00,Wednesday,SYD,1
T144,T144SAT,SFT,6:55:00,Saturday,6:55:00,Saturday,CRV,1
T145,T145SA,CRV,9:37:00,Saturday,9:37:00,Saturday,ENF,1
T145,T145SACRV,CRV,9:37:00,Saturday,9:37:00,Saturday,ENF,1
T145,T145ENF,ENF,20:36:00,Monday,20:36:00,Monday,SFT,2
T145,T145FR,ENF,20:36:00,Friday,20:36:00,Friday,SFT,2
T145,t145mon,ENF,20:36:00,Monday,20:36:00,Monday,SFT,2
T145,T145SA,ENF,10:31:00,Saturday,10:31:00,Saturday,SFT,2
T145,T145SAENF,ENF,10:31:00,Saturday,10:31:00,Saturday,SFT,2
T145,T145TH,ENF,20:36:00,Thursday,20:36:00,Thursday,SFT,2
T145,T145TU,ENF,20:36:00,Tuesday,20:36:00,Tuesday,SFT,2
T145,T145WE,ENF,20:36:00,Wednesday,20:36:00,Wednesday,SFT,2
T146,T145MO,SFT,21:22:00,Monday,21:22:00,Monday,ENF,1
T146,T146FR,SFT,21:22:00,Friday,21:22:00,Friday,ENF,1
T146,T146MO,SFT,21:21:00,Monday,21:21:00,Monday,ENF,1
T146,T146TH,SFT,21:22:00,Thursday,21:22:00,Thursday,ENF,1
T146,T146TU,SFT,21:27:00,Tuesday,21:27:00,Tuesday,ENF,1
T146,T146WE,SFT,21:22:00,Wednesday,21:22:00,Wednesday,ENF,1
T146,t146sat,SAT,21:21:00,Saturday,21:21:00,Saturday,ENF,2
T148,T148B,SFT,9:15:00,Monday,9:15:00,Monday,LHF,1
T148,T148C,SFT,9:15:00,Tuesday,9:15:00,Tuesday,LHF,1
T148,T148D,SFT,9:15:00,Wednesday,9:15:00,Wednesday,LHF,1
T148,T148E,SFT,9:15:00,Thursday,9:15:00,Thursday,LHF,1
T148,T148F,SFT,9:15:00,Friday,9:15:00,Friday,LHF,1
T149,T149B,LHF,12:00:00,Monday,12:00:00,Monday,SFT,1
T149,T149C,LHF,12:00:00,Tuesday,12:00:00,Tuesday,SFT,1
T149,T149D,LHF,12:00:00,Wednesday,12:00:00,Wednesday,SFT,1
T149,T149E,LHF,12:00:00,Thursday,12:00:00,Thursday,SFT,1
T149,T149F,LHF,12:00:00,Friday,12:00:00,Friday,SFT,1
T160,T160MON,SFT,12:30:00,Monday,12:30:00,Monday,BOT,1
T160,T160SUN,SFT,16:30:00,Sunday,16:30:00,Sunday,BOT,1
T160,T160WED,SFT,12:30:00,Wednesday,12:30:00,Wednesday,BOT,1
T160A,T160ASFT,SFT,16:30:00,Sunday,16:30:00,Sunday,BOT,1
T160B,T160BSFT,SFT,12:30:00,Monday,12:30:00,Monday,BOT,1
T161,T161MON,BOT,16:30:00,Monday,16:30:00,Monday,SFT,1
