DATE,OD_PAIR,NUM_BOXES
1/04/2025,MKY-ETT,0.51
1/04/2025,MKY-MFT,17.09
1/04/2025,MKY-MOR,0.84
1/04/2025,MKY-PFT,4.57
1/04/2025,MKY-SFT,2.93
1/04/2025,ROK-AFT,0.5
1/04/2025,ROK-BRT,0.17
1/04/2025,TVT-AFT,11.36
1/04/2025,TVT-ASP,0.08
1/04/2025,WQX-AFT,4.96
1/04/2025,WQX-ASP,0.25
1/04/2025,ROK-MFT,2.24
1/04/2025,ROK-MOR,0.23
1/04/2025,ROK-PFT,8.31
1/04/2025,ROK-SFT,2.31
1/04/2025,TVT-MFT,44.81
1/04/2025,WQX-MFT,20.9
1/04/2025,TVT-PFT,18.45
1/04/2025,TVT-WEK,0.17
1/04/2025,WQX-PFT,8.62
1/04/2025,WQX-WEK,0.09
1/04/2025,TVT-ETT,3.38
1/04/2025,TVT-MOR,33.29
