TRAIN_ID,TRAIN,TERMINAL,ARR_TIME,DEP_TIME,LEG_NUM,CORRIDOR
5MP2,5MP2AFT,AFT,10/01/2025 3:55,10/01/2025 10:00,3,MEL-PER
5MP2,5MP2SCJ,SCJ,10/01/2025 15:30,10/01/2025 23:50,4,MEL-PER
5MP2,5MP2COK,COK,11/01/2025 13:50,11/01/2025 12:50,5,MEL-PER
5MP2,5MP2WEK,WEK,6/01/2025 3:20,5/01/2025 4:30,6,MEL-PER
5MP2,1bm2PFT,PFT,5/01/2025 17:35,,7,MEL-PER
5MP5,5mp5MFT,MFT,,9/01/2025 21:55,1,MEL-PER
5MP5,5mp5TLB,TLB,10/01/2025 6:02,10/01/2025 6:22,2,MEL-PER
5MP5,5mp5AFT,AFT,10/01/2025 9:30,10/01/2025 14:00,3,MEL-PER
5MP5,5mp5SCJ,SCJ,10/01/2025 18:17,10/01/2025 19:05,4,MEL-PER
5MP5,1bm2PFT,PFT,6/01/2025 4:55,,5,MEL-PER
5MS2,5ms2MFT,MFT,,9/01/2025 18:25,1,MEL-SYD
5MS2,5ms2ETT,ETT,9/01/2025 22:33,9/01/2025 22:33,2,MEL-SYD
5MS2,1bm2SFT,SFT,10/01/2025 7:19,,3,MEL-SYD
5PM5,5pm5PFT,PFT,,9/01/2025 17:50,1,MEL-PER
5PM5,5pm5WEK,WEK,10/01/2025 4:50,10/01/2025 5:50,2,MEL-PER
5PM5,5pm5COK,COK,10/01/2025 18:40,10/01/2025 21:40,3,MEL-PER
5PM5,5pm5SCJ,SCJ,11/01/2025 12:00,11/01/2025 13:55,4,MEL-PER
5PM5,5pm5AFT,AFT,11/01/2025 19:15,5/01/2025 9:00,5,MEL-PER
5PM5,5pm5TLB,TLB,5/01/2025 11:37,5/01/2025 12:11,6,MEL-PER
5PM5,1bm2MFT,MFT,5/01/2025 23:10,,7,MEL-PER
5PM7,5pm7PFT,PFT,,9/01/2025 14:40,1,MEL-PER
5PM7,5pm7AFT,AFT,11/01/2025 18:15,11/01/2025 19:20,2,MEL-PER
5PM7,1bm2MFT,MFT,6/01/2025 6:40,,3,MEL-PER
5SM2,5SM2SFT,SFT,,9/01/2025 16:45,1,MEL-SYD
5SM2,5sm2ETT,ETT,10/01/2025 3:02,10/01/2025 3:02,2,MEL-SYD
5SM2,1bm2MFT,MFT,10/01/2025 8:50,,3,MEL-SYD
6AM3,6AM3PAD,PAD,,10/01/2025 23:10,1,MEL-ADL
6AM3,6AM3TLB,TLB,11/01/2025 4:40,11/01/2025 5:00,2,MEL-ADL
6AM3,1bm2APD,APD,11/01/2025 15:51,,3,MEL-ADL
6AM5,6AM5AFT,AFT,,10/01/2025 19:00,1,MEL-ADL
6AM5,6am5TLB,TLB,10/01/2025 21:37,10/01/2025 22:22,2,MEL-ADL
6AM5,1bm2MFT,MFT,11/01/2025 10:53,,3,MEL-ADL
6AM8,6AM8KWK,KWK,,10/01/2025 7:45,1,MEL-ADL
6AM8,1bm2SPG,SPG,10/01/2025 18:50,,2,MEL-ADL
6BM4,6BM4BFT,BFT,,10/01/2025 23:20,1,MEL-BRI
6BM4,6BM4SFT,SFT,11/01/2025 16:35,11/01/2025 18:40,2,MEL-BRI
6BM4,6bm4ETT,ETT,6/01/2025 3:14,5/01/2025 3:14,3,MEL-BRI
6BM4,1bm2MFT,MFT,5/01/2025 8:25,,4,MEL-BRI
6MA5,6ma5MFT,MFT,,10/01/2025 17:25,1,MEL-ADL
6MA5,6ma5TLB,TLB,11/01/2025 2:01,11/01/2025 2:35,2,MEL-ADL
6MA5,1bm2AFT,AFT,11/01/2025 6:10,,3,MEL-ADL
6MB4,6mb4MFT,MFT,,10/01/2025 20:00,1,MEL-BRI
6MB4,6MB4SFT,SFT,11/01/2025 9:04,11/01/2025 9:51,2,MEL-BRI
6MB4,1bm2BFT,BFT,6/01/2025 4:05,,3,MEL-BRI
6MP4,6mp4MFT,MFT,,10/01/2025 13:25,1,MEL-PER
6MP4,6mp4TLB,TLB,10/01/2025 22:16,10/01/2025 22:48,2,MEL-PER
6MP4,6mp4AFT,AFT,11/01/2025 1:50,11/01/2025 5:40,3,MEL-PER
6MP4,6mp4SCJ,SCJ,11/01/2025 10:10,11/01/2025 11:00,4,MEL-PER
6MP4,1bm2PFT,PFT,6/01/2025 20:35,,5,MEL-PER
6MP5,6mp5MFT,MFT,,10/01/2025 21:50,1,MEL-PER
6MP5,6mp5TLB,TLB,11/01/2025 6:00,11/01/2025 6:30,2,MEL-PER
6MP5,6mp5AFT,AFT,11/01/2025 9:30,11/01/2025 17:40,3,MEL-PER
6MP5,6mp5SCJ,SCJ,11/01/2025 22:45,11/01/2025 23:45,4,MEL-PER
6MP5,1bm2PFT,PFT,7/01/2025 8:35,,5,MEL-PER
6MP6,6mp6MFT,MFT,,10/01/2025 1:00,1,MEL-PER
6MP6,6mp6AFT,AFT,10/01/2025 13:20,10/01/2025 15:30,2,MEL-PER
6MP6,6mp6SCJ,SCJ,10/01/2025 20:30,10/01/2025 22:05,3,MEL-PER
6MP6,1bm2PFT,PFT,6/01/2025 9:10,,4,MEL-PER
6MS2,6ms2MFT,MFT,,10/01/2025 18:25,1,MEL-SYD
6MS2,6ms2ETT,ETT,10/01/2025 22:33,10/01/2025 22:33,2,MEL-SYD
6MS2,1bm2SFT,SFT,11/01/2025 7:18,,3,MEL-SYD
6PM5,6pm5PFT,PFT,,10/01/2025 10:55,1,MEL-PER
6PM5,6pm5SCJ,SCJ,6/01/2025 0:17,5/01/2025 2:20,2,MEL-PER
6PM5,6pm5AFT,AFT,5/01/2025 6:35,5/01/2025 11:20,3,MEL-PER
6PM5,6pm5TLB,TLB,5/01/2025 13:57,5/01/2025 14:17,4,MEL-PER
6PM5,1bm2MFT,MFT,6/01/2025 1:31,,5,MEL-PER
6PM6,6pm6PFT,PFT,,10/01/2025 23:59,1,MEL-PER
6PM6,6pm6SCJ,SCJ,6/01/2025 17:00,5/01/2025 20:15,2,MEL-PER
6PM6,6pm6AFT,AFT,6/01/2025 0:30,6/01/2025 5:45,3,MEL-PER
6PM6,6pm6TLB,TLB,6/01/2025 10:14,6/01/2025 10:45,4,MEL-PER
6PM6,1bm2MFT,MFT,6/01/2025 23:30,,5,MEL-PER
