Date,ContainerType,TrainNum,DayOfWeek,Month,DailyVolume
2024-01-28,C 45,4MP5,Sun,1,2.1999999999999966
2024-01-28,C 20,4MP5,Sun,1,1.0
2024-01-28,C 51,4MP5,Sun,1,2.5
2024-01-29,C 48,4MP5,Mon,1,2.399999999999972
2024-01-29,C 40,4MP5,Mon,1,2.0
2024-01-29,C 53,4MP5,Mon,1,2.599999999999996
2024-01-29,C 45,4MP5,Mon,1,2.1999999999999966
2024-01-29,C 20,4MP5,Mon,1,1.0
2024-01-29,C 51,4MP5,Mon,1,2.5
2024-01-30,C 48,4MP5,Tue,1,2.399999999999972
2024-01-30,C 40,4MP5,Tue,1,2.0
2024-01-30,C 53,4MP5,Tue,1,2.599999999999996
2024-01-30,C 45,4MP5,Tue,1,2.1999999999999966
2024-01-30,C 20,4MP5,Tue,1,1.0
2024-01-30,C 51,4MP5,Tue,1,2.5
2024-01-31,C 48,4MP5,Wed,1,2.399999999999972
2024-01-31,C 40,4MP5,Wed,1,2.0
2024-01-31,C 53,4MP5,Wed,1,2.599999999999996
2024-01-31,C 45,4MP5,Wed,1,2.1999999999999966
2024-01-31,C 20,4MP5,Wed,1,1.0
2024-01-31,C 51,4MP5,Wed,1,2.5
